Model: CAST_Ablation | Data: PEMS04_2018_Fused.npz | H/P: 96/96 | Time: 21.75m | MSE: 0.3598 | MAE: 0.4287 | RMSE: 0.5927 | MAPE: 2.4835 | MSPE: 13483.3761
Model: CAST_Ablation | Data: PEMS04_2018_Fused.npz | H/P: 96/12 | Time: 19.05m | MSE: 0.0916 | MAE: 0.199 | RMSE: 0.2862 | MAPE: 1.2862 | MSPE: 3576.1403
Model: CAST_Ablation | Data: PEMS04_2018_Fused.npz | H/P: 96/24 | Time: 15.53m | MSE: 0.1303 | MAE: 0.2401 | RMSE: 0.3435 | MAPE: 1.654 | MSPE: 7290.6893
Model: CAST_Ablation | Data: PEMS04_2018_Fused.npz | H/P: 96/48 | Time: 21.34m | MSE: 0.2071 | MAE: 0.3123 | RMSE: 0.443 | MAPE: 2.0496 | MSPE: 9598.8598
Model: CAST_Ablation | Data: PEMS04_2018_Fused.npz | H/P: 96/96 | Time: 21.73m | MSE: 0.3598 | MAE: 0.4287 | RMSE: 0.5927 | MAPE: 2.4835 | MSPE: 13483.3761
Model: CAST | Data: PEMS07_2017_Fused_Norm.npz | H/P: 96/12 | Time: 17.9m | MSE: 0.0701 | MAE: 0.1726 | RMSE: 0.2579 | MAPE: 2.1065 | MSPE: 128954.2812
Model: CAST | Data: PEMS07_2017_Fused_Norm.npz | H/P: 96/24 | Time: 28.64m | MSE: 0.1053 | MAE: 0.2129 | RMSE: 0.3164 | MAPE: 2.4873 | MSPE: 152800.6357
Model: CAST | Data: PEMS07_2017_Fused_Norm.npz | H/P: 96/48 | Time: 29.41m | MSE: 0.1705 | MAE: 0.2763 | RMSE: 0.4044 | MAPE: 3.1953 | MSPE: 327629.5781
Model: CAST | Data: PEMS07_2017_Fused_Norm.npz | H/P: 96/96 | Time: 28.05m | MSE: 0.261 | MAE: 0.3528 | RMSE: 0.5054 | MAPE: 4.1 | MSPE: 710295.0059
Model: CAST | Data: PEMS08_2016_Fused_Norm.npz | H/P: 96/12 | Time: 17.66m | MSE: 0.0787 | MAE: 0.1837 | RMSE: 0.2696 | MAPE: 1.1552 | MSPE: 745.8388
Model: CAST | Data: PEMS08_2016_Fused_Norm.npz | H/P: 96/24 | Time: 15.71m | MSE: 0.1142 | MAE: 0.2232 | RMSE: 0.3262 | MAPE: 1.4069 | MSPE: 1178.6025
Model: CAST | Data: PEMS08_2016_Fused_Norm.npz | H/P: 96/48 | Time: 15.67m | MSE: 0.1969 | MAE: 0.3021 | RMSE: 0.4316 | MAPE: 1.7699 | MSPE: 1431.8905
Model: CAST | Data: PEMS08_2016_Fused_Norm.npz | H/P: 96/96 | Time: 18.43m | MSE: 0.3475 | MAE: 0.4165 | RMSE: 0.579 | MAPE: 2.1701 | MSPE: 1926.6529
Model: CAST | Data: PEMS04_2018_Fused.npz | H/P: 96/96 | Time: 0m | MSE: 0.3644 | MAE: 0.4327 | RMSE: 0.5958 | MAPE: 2.4966 | MSPE: 13294.3797
Model: CAST | Data: PEMS04_2018_Fused.npz | H/P: 96/96 | Time: 0m | MSE: 0.3644 | MAE: 0.4327 | RMSE: 0.5958 | MAPE: 2.4966 | MSPE: 13294.3797
Model: CAST | Data: PEMS04_2018_Fused.npz | H/P: 96/96 | Time: 0m | MSE: 0.3644 | MAE: 0.4327 | RMSE: 0.5958 | MAPE: 2.4966 | MSPE: 13294.3797
Model: CAST | Data: PEMS04_2018_Fused.npz | H/P: 96/96 | Time: 0m | MSE: 5544.2167 | MAE: 50.9217 | RMSE: 73.5236 | MAPE: 599631.9796 | MSPE: 356298934824840.7
Model: CAST (original) | Data: PEMS04_2018_Fused.npz | H/P: 96/96 | Time: 0m | MSE: 5544.2148 | MAE: 50.9217 | RMSE: 74.4595
Model: CAST (original) | Data: PEMS04.npz | H/P: 96/96 | Time: 0m | MSE: 4771.4868 | MAE: 46.3075 | RMSE: 69.076
Model: CAST (original) | Data: PEMS04_2018_Fused.npz | H/P: 96/12 | Time: 0m | MSE: 1333.7411 | MAE: 23.068 | RMSE: 36.5204
